,open,high,low,close,volume
2024-01-05 14:00:00,158.073,158.276,157.757,157.849,404211
2024-01-05 15:00:00,157.821,158.009,157.232,157.725,951902
2024-01-05 16:00:00,157.711,158.257,157.658,157.74,2235144
2024-01-05 17:00:00,158.043,158.118,157.658,158.027,119
2024-01-05 18:00:00,158.043,158.118,157.44,158.057,537577
2024-01-05 19:00:00,157.726,158.118,157.638,157.66,537550
2024-01-08 04:00:00,157.716,158.019,157.004,157.304,147
2024-01-08 05:00:00,157.29,157.444,157.163,157.432,146
2024-01-08 06:00:00,157.271,157.434,157.093,157.145,94
2024-01-08 07:00:00,157.33,157.662,157.321,157.641,680
2024-01-08 08:00:00,157.637,157.82,157.341,157.779,1723
2024-01-08 09:00:00,157.558,157.642,156.454,157.339,441052
2024-01-08 10:00:00,157.325,158.554,157.291,158.552,362819
2024-01-08 11:00:00,158.549,158.643,158.015,158.392,245878
2024-01-08 12:00:00,158.43,158.693,158.132,158.557,161787
2024-01-08 13:00:00,158.539,158.782,158.5,158.761,173602
2024-01-08 14:00:00,158.747,159.347,158.56,159.251,256729
2024-01-08 15:00:00,159.233,159.779,159.074,159.712,666809
2024-01-08 16:00:00,159.708,160.159,159.362,159.563,2436606
2024-01-08 17:00:00,159.54,159.723,159.422,159.565,83395
2024-01-08 18:00:00,159.689,159.862,159.65,159.672,754336
2024-01-08 19:00:00,159.689,159.862,159.541,159.573,754583
2024-01-09 04:00:00,159.441,159.723,158.698,159.355,895
2024-01-09 05:00:00,159.322,159.337,159.313,159.335,5
2024-01-09 06:00:00,159.589,159.604,159.313,159.375,46
2024-01-09 07:00:00,159.5,159.515,159.323,159.415,208
2024-01-09 08:00:00,159.49,159.713,159.125,159.365,692
2024-01-09 09:00:00,159.233,159.446,158.104,158.518,168916
2024-01-09 10:00:00,158.46,158.881,158.064,158.463,259964
2024-01-09 11:00:00,158.46,158.94,158.441,158.928,242231
2024-01-09 12:00:00,158.925,159.053,158.659,158.751,176477
2024-01-09 13:00:00,158.747,158.871,158.233,158.701,238192
2024-01-09 14:00:00,158.707,158.792,158.461,158.721,222196
2024-01-09 15:00:00,158.717,158.911,158.381,158.642,655073
2024-01-09 16:00:00,158.628,159.02,158.421,158.651,1784306
2024-01-09 17:00:00,158.628,158.643,158.401,158.473,48
2024-01-09 18:00:00,158.559,158.653,158.411,158.433,566554
2024-01-09 19:00:00,158.638,158.851,158.411,158.483,566370
2024-01-10 04:00:00,158.826,158.841,158.52,158.701,44
2024-01-10 05:00:00,158.945,158.96,158.55,158.671,35
2024-01-10 06:00:00,158.658,158.673,158.431,158.453,63
2024-01-10 07:00:00,158.579,158.812,158.431,158.721,357
2024-01-10 08:00:00,158.638,158.99,158.401,158.81,1561
2024-01-10 09:00:00,158.549,159.197,158.292,158.572,231134
2024-01-10 10:00:00,158.549,159.575,158.342,159.464,308614
2024-01-10 11:00:00,159.451,159.604,158.926,159.115,204817
2024-01-10 12:00:00,159.074,159.089,158.857,158.969,133182
2024-01-10 13:00:00,158.935,159.089,158.708,159.018,160369
2024-01-10 14:00:00,158.995,159.565,158.966,159.553,230476
2024-01-10 15:00:00,159.53,159.902,159.224,159.761,729607
2024-01-10 16:00:00,159.748,160.04,159.531,159.96,2086285
2024-01-10 17:00:00,159.55,159.961,159.541,159.643,221
2024-01-10 18:00:00,159.778,159.961,159.6,159.623,558270
2024-01-10 19:00:00,159.778,159.961,159.62,159.791,558340
2024-01-11 04:00:00,159.778,159.951,159.461,159.761,96
2024-01-11 05:00:00,159.778,159.793,159.343,159.405,273
2024-01-11 06:00:00,159.53,159.723,159.382,159.722,241
2024-01-11 07:00:00,159.817,159.991,159.511,159.573,1021
2024-01-11 08:00:00,159.738,159.951,159.134,159.563,3980
2024-01-11 09:00:00,159.57,160.258,159.194,159.405,215627
2024-01-11 10:00:00,159.406,159.941,158.837,159.325,303780
2024-01-11 11:00:00,159.332,159.694,159.025,159.117,305509
2024-01-11 12:00:00,159.069,159.386,158.887,159.261,221581
2024-01-11 13:00:00,159.243,159.912,159.234,159.885,166270
2024-01-11 14:00:00,159.897,160.25,159.764,160.203,235555
2024-01-11 15:00:00,160.194,160.784,159.917,160.693,766340
2024-01-11 16:00:00,160.68,160.932,158.822,160.832,3364480
2024-01-11 17:00:00,160.709,160.724,160.564,160.653,535
2024-01-11 18:00:00,160.68,160.714,160.552,160.693,902802
2024-01-11 19:00:00,160.699,160.714,160.601,160.663,902418
2024-01-12 04:00:00,160.263,160.952,158.817,160.644,939
2024-01-12 05:00:00,160.63,160.952,160.482,160.505,48
2024-01-12 06:00:00,160.541,161.051,160.532,160.753,733
2024-01-12 07:00:00,160.59,161.032,160.393,160.634,1178
2024-01-12 08:00:00,160.491,161.053,160.353,160.624,1151
2024-01-12 09:00:00,160.61,162.037,160.561,161.536,438139
2024-01-12 10:00:00,161.552,162.221,161.334,162.081,458235
2024-01-12 11:00:00,162.067,162.508,162.008,162.395,418303
2024-01-12 12:00:00,162.394,163.271,162.36,163.067,456080
